domain,stated_probability,count_per_type,choice_mean,noul_mean
inventory,0.05,3,0.02,0.11
capacity,0.05,3,0.01,0.10333333333333333
runway,0.05,3,0.02,0.08666666666666667
sla,0.05,3,0.01,0.09
inventory,0.1,3,0.023333333333333334,0.14666666666666667
capacity,0.1,3,0.01,0.14
runway,0.1,3,0.02,0.12666666666666668
sla,0.1,3,0.01,0.12666666666666668
inventory,0.2,3,0.04,0.22
capacity,0.2,3,0.013333333333333334,0.21
runway,0.2,3,0.026666666666666665,0.20333333333333334
sla,0.2,3,0.01,0.19
inventory,0.3,3,0.05333333333333334,0.26666666666666666
capacity,0.3,3,0.016666666666666666,0.2733333333333334
runway,0.3,3,0.03666666666666667,0.27
sla,0.3,3,0.02,0.24666666666666667
inventory,0.4,3,0.08666666666666667,0.32333333333333336
capacity,0.4,3,0.026666666666666665,0.32333333333333336
runway,0.4,3,0.056666666666666664,0.33666666666666667
sla,0.4,3,0.03,0.2966666666666667
inventory,0.45,3,0.09333333333333334,0.35666666666666663
capacity,0.45,3,0.04666666666666667,0.37333333333333335
runway,0.45,3,0.08666666666666667,0.38666666666666666
sla,0.45,3,0.03666666666666667,0.33
inventory,0.5,3,0.34,0.43
capacity,0.5,3,0.24333333333333335,0.44333333333333336
runway,0.5,3,0.3233333333333333,0.45666666666666667
sla,0.5,3,0.2733333333333333,0.39
inventory,0.55,3,0.9566666666666667,0.45333333333333337
capacity,0.55,3,0.94,0.46
runway,0.55,3,0.9633333333333333,0.5233333333333333
sla,0.55,3,0.9766666666666667,0.43
inventory,0.6,3,0.9666666666666667,0.48
capacity,0.6,3,0.97,0.5066666666666667
runway,0.6,3,0.97,0.56
sla,0.6,3,0.9866666666666667,0.4666666666666667
inventory,0.7,3,0.98,0.51
capacity,0.7,3,0.98,0.5599999999999999
runway,0.7,3,0.9766666666666667,0.6033333333333333
sla,0.7,3,0.99,0.5033333333333333
inventory,0.8,3,0.99,0.63
capacity,0.8,3,0.9866666666666667,0.66
runway,0.8,3,0.98,0.69
sla,0.8,3,0.99,0.5933333333333334
inventory,0.9,3,0.99,0.68
capacity,0.9,3,0.99,0.7333333333333333
runway,0.9,3,0.99,0.7633333333333333
sla,0.9,3,0.99,0.6366666666666667
inventory,0.95,3,0.9933333333333333,0.7366666666666667
capacity,0.95,3,0.9933333333333333,0.7866666666666667
runway,0.95,3,0.99,0.8133333333333334
sla,0.95,3,0.99,0.7000000000000001
