family,options,count,true_probability,mean_reported,min_reported,max_reported,sd_reported,mean_abs_gap,expected_brier_excess
shard_n2,2,60,0.5,0.469,0.45,0.49,0.009690113780794606,0.03100000000000001,0.0010533333333333339
shard_n3,3,60,0.3333333333333333,0.3105,0.29,0.33,0.009099264265284951,0.022833333333333317,0.0006027777777777772
shard_n4,4,60,0.25,0.2465,0.23,0.26,0.007324211069911232,0.005833333333333338,6.500000000000008e-05
fair_die,6,60,0.16666666666666666,0.192,0.17,0.22,0.009531393267886846,0.025333333333333343,0.0007311111111111117
shard_n6,6,59,0.16666666666666666,0.21389830508474575,0.2,0.23,0.006163560645954012,0.047231638418079105,0.002268173258003767
shard_n8,8,60,0.125,0.16933333333333334,0.15,0.18,0.007333846926031607,0.04433333333333334,0.002018333333333334
shard_n10,10,60,0.1,0.17283333333333334,0.15,0.19,0.008455600223593998,0.07283333333333333,0.005375
shard_n12,12,60,0.08333333333333333,0.17333333333333334,0.15,0.19,0.008570083295022035,0.09000000000000001,0.008172222222222223
shard_n16,16,60,0.0625,0.148,0.13,0.17,0.008596412337989941,0.0855,0.007382916666666667
shard_n20,20,60,0.05,0.15016666666666667,0.13,0.17,0.008731720211568124,0.10016666666666667,0.010108333333333334
